state,agency,support_types
FL,"Vero Beach Police Department","Task Force Model"
FL,"Volusia County Division of Corrections","Warrant Service Officer"
FL,"Volusia County Sheriff's Office","Task Force Model"
FL,"Wakulla County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Walton County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Washington County Sheriff's Office","Task Force Model; Warrant Service Officer"
FL,"Welaka Police Department","Task Force Model"
FL,"West Melbourne Police Department","Task Force Model"
FL,"West Miami Police Department","Task Force Model"
FL,"West Palm Beach Police Department","Task Force Model"
FL,"Windermere Police Department","Task Force Model"
FL,"Winter Garden Police Department","Task Force Model"
FL,"Winter Haven Police Department","Task Force Model"
FL,"Winter Springs Police Department","Task Force Model"
FL,"Zephyrhills Police Department","Task Force Model"
GA,"Alto Police Department","Task Force Model"
GA,"Appling County Sheriff's Office","Task Force Model"
GA,"Atkinson County Sheriff's Office","Jail Enforcement Model; Task Force Model"
GA,"Bacon County Sheriff's Office","Task Force Model"
GA,"Bibb County Sheriff's Office","Warrant Service Officer"
GA,"Burke County Sheriff's Office","Warrant Service Officer"
GA,"Camden County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
GA,"Catoosa County Sheriff's Office","Jail Enforcement Model; Warrant Service Officer"
GA,"City of Morrow Police Department","Task Force Model"
GA,"Columbia County Sheriff's Office","Jail Enforcement Model"
GA,"Coweta County Sheriff's Office","Warrant Service Officer"
GA,"Dade County Sheriff's Office","Warrant Service Officer"
GA,"Dallas Police Department","Task Force Model"
GA,"Dawson County Sheriff's Office","Warrant Service Officer"
GA,"Decatur County Sheriff's Office","Warrant Service Officer"
GA,"Euharlee Police Department","Task Force Model"
GA,"Fayette County Sheriff's Office","Warrant Service Officer"
GA,"Floyd County Sheriff's Office","Jail Enforcement Model"
GA,"Forsyth County Sheriff's Office","Warrant Service Officer"
GA,"Franklin County Sheriff's Office","Warrant Service Officer"
GA,"Georgia Department of Corrections","Jail Enforcement Model"
GA,"Georgia Department of Public Safety","Task Force Model"
GA,"Gilmer County Sheriff's Office","Warrant Service Officer"
GA,"Glynn County Sheriff's Office","Warrant Service Officer"
GA,"Grady County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
GA,"Hahira Police Department","Task Force Model"
GA,"Hall County Sheriff's Office","Jail Enforcement Model"
GA,"Harris County Sheriff's Office","Task Force Model; Warrant Service Officer"
GA,"Jasper County Sheriff's Office","Jail Enforcement Model; Warrant Service Officer"
GA,"Lanier County Sheriff's Office","Task Force Model"
GA,"Lumpkin County Sheriff's Office","Warrant Service Officer"
GA,"Madison County Sheriff's Office","Warrant Service Officer"
GA,"Marietta Police Department","Task Force Model"
GA,"Monroe County Sheriff's Office","Jail Enforcement Model"
GA,"Monroe Police Department","Task Force Model"
GA,"Morgan County Sheriff's Office","Warrant Service Officer"
GA,"Morven Police Department","Task Force Model"
GA,"Oconee County Sheriff's Office","Warrant Service Officer"
GA,"Odum Police Department","Task Force Model"
GA,"Oglethorpe County Sheriff's Office","Task Force Model"
GA,"Pearson Police Department","Task Force Model"
GA,"Pierce County Sheriff's Office","Warrant Service Officer"
GA,"Polk County Sheriff's Office","Jail Enforcement Model"
GA,"Social Circle Police Department","Task Force Model"
GA,"Statesboro Police Department","Task Force Model"
GA,"Thomas County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
GA,"Tift County Sheriff's Office","Jail Enforcement Model; Warrant Service Officer"
GA,"Turner County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
GA,"Walker County Sheriff's Office","Jail Enforcement Model"
GA,"Wayne County Sheriff's Office","Task Force Model"
GA,"Whitfield County Sheriff's Office","Jail Enforcement Model"
GUAM,"Office Of The Attorney General","Task Force Model"
IA,"Iowa Department of Public Safety","Task Force Model"
IA,"Marion County Sheriff's Office","Task Force Model"
ID,"Bingham County Sheriff's Office","Warrant Service Officer"
ID,"Bonneville County Sheriff's Office","Warrant Service Officer"
ID,"Caribou County Sheriff's Office","Warrant Service Officer"
ID,"Franklin County Sheriff's Office","Task Force Model"
ID,"Gooding County Sheriff's Office","Warrant Service Officer"
ID,"Idaho State Police Department","Task Force Model"
ID,"Kootenai County Sheriff's Office","Jail Enforcement Model; Warrant Service Officer"
ID,"Owyhee County Sheriff's Office","Task Force Model; Warrant Service Officer"
ID,"Power County Sheriff’s Office","Warrant Service Officer"
ID,"Washington County Sheriff's Office","Warrant Service Officer"
IN,"Angola Police Department","Task Force Model"
IN,"Bainbridge Police Department","Task Force Model"
IN,"Cadiz Police Department","Task Force Model"
IN,"Carthage Police Department","Task Force Model"
IN,"Claypool Police Department","Task Force Model"
IN,"Corydon Police Department","Task Force Model; Warrant Service Officer"
IN,"Gentryville Police Department","Task Force Model"
IN,"Greens Fork Police Department","Task Force Model"
IN,"Greensboro Police Department","Task Force Model"
IN,"Hamilton County Sheriff's Office","Jail Enforcement Model"
IN,"Haubstadt Police Department","Task Force Model"
IN,"Hendricks County Prosecutor's Office","Task Force Model"
IN,"Holland Police Department","Task Force Model"
IN,"Indiana Department of Corrections","Jail Enforcement Model; Warrant Service Officer"
IN,"Indiana Department of Homeland Security","Task Force Model"
IN,"Indiana State Police Department","Task Force Model"
IN,"Jasper County Sheriff's Office","Warrant Service Officer"
IN,"Kennard Police Department","Task Force Model"
IN,"LaGrange Police Department","Task Force Model"
IN,"Laurel Police Department","Task Force Model"
IN,"Marengo Police Department","Task Force Model"
IN,"Moores Hill Police Department","Task Force Model"
IN,"Noble County Sheriff's Office","Warrant Service Officer"
IN,"North Salem Police Department","Task Force Model"
IN,"Orestes Police Department","Task Force Model"
IN,"Rush County Sheriff's Office","Warrant Service Officer"
IN,"Shirley Police Department","Task Force Model"
IN,"Stinesville Police Department","Task Force Model"
IN,"West Harrison Police Department","Task Force Model"
IN,"Wolcott Police Department","Task Force Model"
IN,"Worthington Police Department","Task Force Model"
KS,"Anderson County Sheriff's Office","Warrant Service Officer"
KS,"Brown County Sheriff's Office","Jail Enforcement Model; Task Force Model; Warrant Service Officer"
KS,"Caney Police Department","Task Force Model"
KS,"Cherryvale Police Department","Task Force Model"
KS,"Cloud County Sheriff's Department","Warrant Service Officer"
KS,"Coffey County Sheriff's Office","Warrant Service Officer"
KS,"Coffeyville Police Department","Task Force Model"
KS,"Cowley County Sheriff's Office","Warrant Service Officer"
KS,"Ellis County Sheriff's Office","Warrant Service Officer"
KS,"Finney County Sheriff’s Office","Warrant Service Officer"
KS,"Franklin County Sheriff's Office","Warrant Service Officer"
KS,"Haskell County Sheriff's Office","Warrant Service Officer"
