ID, Name, Org Name, Total Networks Searched, Time Frame, Reason, Case #, Search Time, Search Type,Search Date,Search Time, , 
b6ae2fec-4f11-4d10-a342-1d1b1b896c19,Jeff Levesque,South Portland ME PD,5786.0,"03/11/2026, 11:26:17 PM UTC
03/18/2026, 11:26:17 PM UTC",Larceny/Theft Offenses - Sopo,,"03/18/2026, 11:26:19 PM UTC",lookup - Mobile,2026-03-18 00:00:00,11:26:19,PM,UTC
677d2001-c764-4a10-8dd7-9d8606171b87,Jeff Levesque,South Portland ME PD,5786.0,"02/16/2026, 11:26:20 PM UTC
03/18/2026, 11:26:20 PM UTC",Larceny/Theft Offenses - Sopo,,"03/18/2026, 11:26:21 PM UTC",lookup - Mobile,2026-03-18 00:00:00,11:26:21,PM,UTC
12db0ea3-36fa-49ba-b03b-93fb811c112e,Jeff Levesque,South Portland ME PD,2.0,"03/18/2026, 05:27:24 PM UTC
03/18/2026, 11:27:24 PM UTC",Larceny/Theft Offenses - Sopo,,"03/18/2026, 11:27:25 PM UTC",search - Mobile,2026-03-18 00:00:00,11:27:25,PM,UTC
072e0456-1d56-411f-9f41-e1236507ed2d,Jeff Levesque,South Portland ME PD,2.0,"03/18/2026, 05:27:42 PM UTC
03/18/2026, 11:27:42 PM UTC",Larceny/Theft Offenses - Sopo,,"03/18/2026, 11:27:44 PM UTC",search - Mobile,2026-03-18 00:00:00,11:27:44,PM,UTC
8011a842-4df3-4e53-80e3-ec2478de6c5c,Jeff Levesque,South Portland ME PD,5807.0,"02/15/2026, 05:00:43 PM UTC
03/17/2026, 05:00:43 PM UTC",Drugs/Narcotics - mdea via miac,,"03/17/2026, 04:56:46 PM UTC",lookup,2026-03-17 00:00:00,04:56:46,PM,UTC
7c88d712-6595-49b9-94bc-e937a87aff58,Jeff Levesque,South Portland ME PD,5807.0,"02/15/2026, 05:00:43 PM UTC
03/17/2026, 05:00:43 PM UTC",Drugs/Narcotics - mdea via miac,,"03/17/2026, 04:57:03 PM UTC",lookup,2026-03-17 00:00:00,04:57:03,PM,UTC
53f2c9d4-c176-4fed-9f63-8b236afecd0a,Michael Armstrong,South Portland ME PD,5773.0,"03/15/2026, 10:30:15 PM UTC
03/16/2026, 10:30:15 PM UTC",Larceny/Theft Offenses - Shoplifters,26005492.0,"03/16/2026, 10:11:17 PM UTC",lookup,2026-03-16 00:00:00,10:11:17,PM,UTC
815c6ed5-fbbe-4b16-98ab-15b87f3fe393,Michael Armstrong,South Portland ME PD,5773.0,"03/15/2026, 10:30:15 PM UTC
03/16/2026, 10:30:15 PM UTC",Larceny/Theft Offenses - Shoplifters,26005492.0,"03/16/2026, 10:16:57 PM UTC",lookup,2026-03-16 00:00:00,10:16:57,PM,UTC
aae75d5f-05c6-4143-b1b7-d6e632372761,Michael Armstrong,South Portland ME PD,5774.0,"03/14/2026, 09:00:21 PM UTC
03/15/2026, 09:00:21 PM UTC",Threats/Harassment - Criminal Threatening,26005387.0,"03/15/2026, 08:55:24 PM UTC",lookup,2026-03-15 00:00:00,08:55:24,PM,UTC
ba2b9804-424b-4a1d-aeed-7aa93a3e0b67,Christopher Todd,South Portland ME PD,2.0,"03/07/2026, 08:00:16 PM UTC
03/14/2026, 08:00:16 PM UTC",Burglary/Breaking & Entering - File 1/Burglary assist for WPD,WEST PD,"03/14/2026, 07:37:26 PM UTC",lookup,2026-03-14 00:00:00,07:37:26,PM,UTC
