original_org_name,normalized_org_name,state,networks_im_sharing
Prospect CT PD,prospect ct,ct,South Portland ME PD
Irondequoit PD NY,irondequoit,ny,South Portland ME PD
Salina KS PD,salina ks,ks,South Portland ME PD
Austin County TX SO,austin county tx,tx,South Portland ME PD
Whitestown IN PD,whitestown in,in,South Portland ME PD
Raeford NC PD,raeford nc,nc,South Portland ME PD
Santa Ana CA PD,santa ana ca,ca,South Portland ME PD
University of West Georgia GA PD,university of west georgia ga,ga,South Portland ME PD
Bardstown PD KY,bardstown,ky,South Portland ME PD
Fletcher NC PD,fletcher nc,nc,South Portland ME PD
South Dakota Division of Criminal Investigation SD,south dakota division of criminal investigation,sd,South Portland ME PD
Lowndes County GA SO,lowndes county ga,ga,South Portland ME PD
Butler Township OH PD,butler township oh,oh,South Portland ME PD
Montgomery County TX SO,montgomery county tx,tx,South Portland ME PD
Harford County MD SO,harford county md,md,South Portland ME PD
Methuen MA PD,methuen ma,ma,South Portland ME PD
Covington LA PD,covington la,la,South Portland ME PD
